name,publication,star,numbers
"

    Ubuntu Linux完全自学教程


    

  ","
        
  
  力行工作室 / 2009-6 / 48.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux从入门到精通


    

  ","
        
  
  丰士昌 / 中国铁道出版社 / 2010-9 / 59.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux轻松入门


    

  ","
        
  
  朱维刚、等 / 化学工业出版社 / 2010-7-1 / 45.00元

      ",0,"
        (少于10人评价)
    "
"

    次世代Linux－Ubuntu玩全手冊


    

  ","
",0,"
        (目前无人评价)
    "
"

    Ubuntu


    
       : Up and Running: A Power User's Desktop Guide 
 : Up and Running: A Power User's Desktop Guide ","
        
  
  Robin Nixon / O'Reilly Media / 2010-4-27 / USD 44.99

      ",0,"
        (少于10人评价)
    "
"

    Hacking Ubuntu


    
       : Serious Hacks Mods and Customizations (ExtremeTech) 
 : Serious Hacks Mods and Customizations (ExtremeTech) ","
        
  
  Neal Krawetz / John Wiley & Sons / 2007 / USD 29.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu


    
       : The Complete Reference 
 : The Complete Reference ","
        
  
  Petersen, Richard / 2008-9 / $ 56.49

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Linux, Third Edition (Beginning from Novice to Professional)


    

  ","
        
  
  Keir Thomas、Jaime Sicam / Apress / 2008-06-24 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Server Administration


    
       : From Novice to Professional (Expert's Voice) 
 : From Novice to Professional (Expert's Voice) ","
        
  
  Sander van Vugt / Apress / 2007-12-14 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Made Easy


    
       : A Project-Based Introduction to Linux 
 : A Project-Based Introduction to Linux ","
        
  
  Rickford Grant、Phil Bull / No Starch Press / 2012-8-2 / USD 34.95

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Linux


    

  ","
        
  
  Emilio Raggi / 2010-10 / $ 45.19

      ",0,"
        (少于10人评价)
    "
"

    Moving to Ubuntu Linux


    

  ","
        
  
  Marcel Gagné / Addison-Wesley Professional / 2006-07-21 / USD 34.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux从入门到精通


    

  ","
        
  
  陶松、刘雍、韩海玲、周洪林 / 人民邮电出版社 / 2014-3-1 / CNY 49.00

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu


    
       : Seeing Oneself Through the Eyes of Others 
 : Seeing Oneself Through the Eyes of Others ","
        
  
  Charlie Clemons / Protea Publishing Company / 2000-12 / USD 28.00

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu


    
       : Powerful Hacks and Customizations 
 : Powerful Hacks and Customizations ","
        
  
  Neal Krawetz / Wiley / 2010-04-19 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Practical Guide to Ubuntu Linux (Version 10.4), A (3rd Edition)


    

  ","
        
  
  Mark G. Sobell / Prentice Hall / 2010-07-26 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Beginning Ubuntu Linux


    

  ","
        
  
  Raggi, Emilio; Thomas, Keir; Van Vugt, Sander / 2011-10 / $ 45.19

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu for Non-Geeks


    
       : A Pain-Free, Project-Based, Get-Things-Done Guide 
 : A Pain-Free, Project-Based, Get-Things-Done Guide ","
        
  
  Grant, Rickford; Bull, Phil; / 2010-7 / $ 39.49

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Book


    

  ","
        
  
  Hill, Benjamin Mako; Helmke, Matthew; Burger, Corey / 2010-6 / 265.00元

      ",0,"
        (少于10人评价)
    "
"

    Simple comme Ubuntu


    
       : à la découverte de Linux, Version 8.10 Intrepid Ibex 
 : à la découverte de Linux, Version 8.10 Intrepid Ibex ","
        
  
  Didier ROCHE / In Libro Veritas / 2008 / 15 euros

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed 2008 Edition


    
       : Covering 8.04 and 8.10 (4th Edition) 
 : Covering 8.04 and 8.10 (4th Edition) ","
        
  
  Andrew Hudson、Paul Hudson / Sams / 2008-07-20 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu 9.10 Server Guide


    

  ","
        
  
  Ubuntu Documentation Project / Fultus Corporation / 2009-11-11 / USD 29.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu 10.04 LTS Desktop Handbook


    

  ","
        
  
  Petersen, Richard / 2010-4 / $ 42.94

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Siobhan Loftus / Quartet Books Ltd / 2002-04-25 / USD 20.63

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux Secrets


    

  ","
        
  
  Richard Blum / Wiley / 2009-4-13 / USD 54.99

      ",0,"
        (目前无人评价)
    "
"

    Official Ubuntu Book, The (3rd Edition)


    

  ","
        
  
  Benjamin Mako Hill、Corey Burger、Jonathan Jesse、Jono Bacon / Prentice Hall PTR / 2008-06-30 / USD 34.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux


    
       : Your visual blueprint to using the Linux operating system 
 : Your visual blueprint to using the Linux operating system ","
        
  
  Ric Shreves / Visual / 2009-3-30 / USD 29.99

      ",0,"
        (少于10人评价)
    "
"

    Mastering Ubuntu Server


    
       : Get up to date with the finer points of Ubuntu Server using this comprehensive guide 
 : Get up to date with the finer points of Ubuntu Server using this comprehensive guide ","
        
  
  Jay LaCroix / Packt Publishing / 2016-7-27 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Official Ubuntu Book


    

  ","
        
  
  Hill, Benjamin Mako; Burger, Corey; Helmke, Matthew / 2009-7 / $ 39.54

      ",0,"
        (少于10人评价)
    "
"

    Official Ubuntu Book, The


    

  ","
        
  
  Benjamin Hill、Matthew Helmke、Amber Graner、Corey Burger / Prentice Hall / 2011-6-20 / USD 39.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu 11.10 Server


    

  ","
        
  
  Petersen, Richard / 2011-10 / $ 45.20

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Unleashed 2011 Edition


    

  ","
        
  
  Helmke, Matthew; Hudson, Andrew; Hudson, Paul / 2010-12 / 380.00元

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Book


    

  ","
        
  
  Benjamin Mako Hill

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux Bible


    

  ","
        
  
  Von Hagen, William / 2010-6 / 361.00元

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu for Non-Geeks, 2nd Edition


    
       : A Pain-Free, Project-Based, Get-Things-Done Guidebook 
 : A Pain-Free, Project-Based, Get-Things-Done Guidebook ","
        
  
  Rickford Grant / No Starch Press / 2007-06-15 / USD 34.95

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed


    

  ","
        
  
  Hudson, Andrew/ Hudson, Paul / Macmillan Computer Pub / 2007-6 / $ 56.49

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Server Administration


    

  ","
        
  
  Michael Jang / McGraw-Hill Osborne Media / 2008-11-17 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu!


    
       : An Inspiring Story About an African Tradition of Teamwork and Collaboration 
 : An Inspiring Story About an African Tradition of Teamwork and Collaboration ","
        
  
  Bob Nelson、Stephen Lundin / Crown Business / 2010-3 / USD 19.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu 9.10 Desktop Handbook


    

  ","
        
  
  Richard Leland Petersen / surfing turtle press / 2009-11-12 / USD 38.00

      ",0,"
        (目前无人评价)
    "
